Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
100 m,9.58,Usain Bolt,JAM,2009-08-16,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
200 m,19.19,Usain Bolt,JAM,2009-08-20,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
400 m,43.03,Wayde van Niekerk,RSA,2016-08-14,Olympic Games,Rio de Janeiro,BRA,Male,Outdoor,True,Sprint
800 m,1:40.91,David Rudisha,KEN,2012-08-09,Olympic Games,London,GBR,Male,Outdoor,True,Middle Distance
1000 m,2:11.96,Noah Ngeny,KEN,1999-09-05,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Middle Distance
1500 m,3:26.00,Hicham El Guerrouj,MAR,1998-07-14,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile,3:43.13,Hicham El Guerrouj,MAR,1999-07-07,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile (Road),3:56.13,Hobbs Kessler,USA,2023-10-01,World Road Running Championships,Riga,LAT,Male,Outdoor,True,Middle Distance
Mile (Road),3:54.56,Emmanuel Wanyonyi,KEN,2024-04-27,Adizero: Road to Records,Herzogenaurach,GER,Male,Outdoor,True,Middle Distance
2000 m,4:43.13,Jakob Ingebrigtsen,NOR,2023-09-08,Memorial van Damme,Brussels,BEL,Male,Outdoor,True,Middle Distance
3000 m,7:20.67,Daniel Komen,KEN,1996-09-01,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Long Distance
5000 m,12:35.36,Joshua Cheptegei,UGA,2020-08-14,Herculis,Monaco,MON,Male,Outdoor,True,Long Distance
5 km (road),12:49.00,Berihu Aregawi,ETH,2021-12-31,Cursa dels Nassos,Barcelona,ESP,Male,Outdoor,True,Long Distance
"10,000 m",26:11.00,Joshua Cheptegei,UGA,2020-10-07,,Valencia,ESP,Male,Outdoor,True,Long Distance
10 km (road),26:24.00,Rhonex Kipruto,KEN,2020-01-12,10K Valencia Ibercaja,Valencia,ESP,Male,Outdoor,True,Long Distance
Half marathon,57:31.00,Jacob Kiplimo,UGA,2021-11-21,EDP Lisbon Half Marathon,Lisbon,POR,Male,Outdoor,True,Long Distance
One hour (track),"21,330 m",Mo Farah,GBR,2020-09-04,Diamond League,Brussels,BEL,Male,Outdoor,True,Long Distance
Marathon[a],2:00:35,Kelvin Kiptum,KEN,2023-10-08,Chicago Marathon,Chicago,USA,Male,Outdoor,True,Long Distance
Marathon[a],1:59:40.2,Eliud Kipchoge,KEN,2019-10-12,Ineos 1:59 Challenge,Vienna,AUT,Male,Outdoor,True,Long Distance
50 km (road),2:38:43.00,CJ Albertson,USA,2022-10-08,Ruth Anderson Memorial Endurance Run,San Francisco,USA,Male,Outdoor,True,Long Distance
100 km (road),6:05:35.00,Aleksandr Sorokin,LTU,2023-05-14,World's Fastest Run,Vilnius,LTU,Male,Outdoor,True,Long Distance
110 m hurdles,12.80,Aries Merritt,USA,2012-09-07,Memorial Van Damme,Brussels,BEL,Male,Outdoor,True,Hurdles
400 m hurdles,45.94,Karsten Warholm,NOR,2021-08-03,Olympic Games,Tokyo,JPN,Male,Outdoor,True,Hurdles
3000 m steeplechase,7:52.11,Lamecha Girma,ETH,2023-06-09,Meeting de Paris,Paris,FRA,Male,Outdoor,True,Long Distance
High jump,2.45 m,Javier Sotomayor,CUB,1993-07-27,Gran Premio Diputación,Salamanca,ESP,Male,Outdoor,True,Jumping
Pole vault,6.23 m,Armand Duplantis,SWE,2023-09-17,Prefontaine Classic,Eugene,USA,Male,Outdoor,True,Jumping
Pole vault,6.24 m,Armand Duplantis,SWE,2024-04-20,Xiamen Diamond League,Xiamen,CHN,Male,Outdoor,True,Jumping
Long jump,8.95 m,Mike Powell,USA,1991-08-30,World Championships,Tokyo,JPN,Male,Outdoor,True,Jumping
Triple jump,18.29 m,Jonathan Edwards,GBR,1995-08-07,World Championships,Gothenburg,SWE,Male,Outdoor,True,Jumping
Shot put,23.56 m,Ryan Crouser,USA,2023-05-27,USATF LA Grand Prix,Los Angeles,USA,Male,Outdoor,True,Throwing
Discus throw,74.08 m,Jürgen Schult,GDR,1986-06-06,,Neubrandenburg,GDR,Male,Outdoor,True,Throwing
Discus throw,74.35 m,Mykolas Alekna,LTU,2024-04-14,Oklahoma Throws Series,Ramona,USA,Male,Outdoor,True,Throwing
Hammer throw,86.74 m,Yuriy Sedykh,URS,1986-08-30,European Championships,Stuttgart,FRG,Male,Outdoor,True,Throwing
Javelin throw,98.48 m,Jan Železný,CZE,1996-05-25,,Jena,GER,Male,Outdoor,True,Throwing
Decathlon,9126 pts,Kevin Mayer,FRA,2018-09-16,Décastar,Talence,FRA,Male,Outdoor,True,Multisport Events
"20,000 m walk (track)",1:17:25.60,Bernardo Segura,MEX,1994-05-07,,Bergen,NOR,Male,Outdoor,True,Walking
20 km walk (road),1:16:36.00,Yusuke Suzuki,JPN,2015-03-15,Asian Race Walking Championships,Nomi,JPN,Male,Outdoor,True,Walking
2 hours walk (track),"29,572 m",Maurizio Damilano,ITA,1992-10-03,,Cuneo,ITA,Male,Outdoor,True,Walking
"30,000 m walk (track)",2:01:44.10,Maurizio Damilano,ITA,1992-10-03,,Cuneo,ITA,Male,Outdoor,True,Walking
35 km walk (road),2:22:00.00,,,,,,,Male,Outdoor,True,Walking
"50,000 m walk (track)",3:35:27.20,Yohann Diniz,FRA,2011-03-12,,Reims,FRA,Male,Outdoor,True,Walking
50 km walk (road),3:32:33.00,Yohann Diniz,FRA,2014-08-15,European Championships,Zürich,SUI,Male,Outdoor,True,Walking
4 × 100 m relay,36.84,"Nesta Carter, Michael Frater, Yohan Blake, Usain Bolt",JAM,2012-08-11,Olympic Games,London,GBR,Male,Outdoor,True,Relay
4 × 200 m relay,1:18.63,"Nickel Ashmeade, Warren Weir, Jermaine Brown, Yohan Blake",JAM,2014-05-24,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
4 × 400 m relay,2:54.29,"Andrew Valmon, Quincy Watts, Butch Reynolds, Michael Johnson",USA,1993-08-22,World Championships,Stuttgart,GER,Male,Outdoor,True,Relay
4 × 800 m relay,7:02.43,"Joseph Mutua, William Yiampoy, Ismael Kombich, Wilfred Bungei",KEN,2006-08-25,Memorial Van Damme,Brussels,BEL,Male,Outdoor,True,Relay
Distance medley relay,9:15.50,"Kyle Merber, Brycen Spratling, Brandon Johnson, Ben Blankenship",USA,2015-05-03,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
Distance medley relay,9:14.58,"Brannon Kidder, Brandon Miller, Isaiah Harris, Henry Wynne",USA,2024-04-19,Oregon Relays,Eugene,USA,Male,Outdoor,True,Relay
4 × 1500 m relay,14:22.22,"Collins Cheboi, Silas Kiplagat, James Kiplagat Magut, Asbel Kiprop",KEN,2014-05-25,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
Road relay42.195 km,1:57:06.00,"Josephat Ndambiri, Martin Mathathi, Daniel Muchunu Mwangi, Mekubo Mogusu, Onesmus Nyerre, John Kariuki",KEN,2005-11-23,Chiba Ekiden,Chiba,JPN,Male,Outdoor,True,Relay
100 m,10.49,Florence Griffith Joyner,USA,1988-07-16,US Olympic Trials,Indianapolis,USA,Female,Outdoor,True,Sprint
200 m,21.34,Florence Griffith Joyner,USA,1988-09-29,Olympic Games,Seoul,KOR,Female,Outdoor,True,Sprint
400 m,47.60,Marita Koch,GDR,1985-10-06,World Cup,Canberra,AUS,Female,Outdoor,True,Sprint
800 m,1:53.28,Jarmila Kratochvílová,TCH,1983-07-26,,Munich,FRG,Female,Outdoor,True,Middle Distance
1000 m,2:28.98,Svetlana Masterkova,RUS,1996-08-23,Memorial Van Damme,Brussels,BEL,Female,Outdoor,True,Middle Distance
1500 m,3:49.11,Faith Kipyegon,KEN,2023-06-02,Golden Gala,Florence,ITA,Female,Outdoor,True,Middle Distance
Mile,4:07.64,Faith Kipyegon,KEN,2023-07-21,Herculis,Monaco,MON,Female,Outdoor,True,Middle Distance
Mile (Road),4:20.98,Diribe Welteji,ETH,2023-10-01,World Road Running Championships,Riga,LAT,Female,Outdoor,True,Middle Distance
2000 m,5:21.56,Francine Niyonsaba,BDI,2021-09-14,Hanžeković Memorial,Zagreb,CRO,Female,Outdoor,True,Middle Distance
3000 m,8:06.11,Wang Junxia,CHN,1993-09-13,Chinese National Games,Beijing,CHN,Female,Outdoor,True,Long Distance
5000 m,14:00.21,Gudaf Tsegay,ETH,2023-09-17,Prefontaine Classic,Eugene,USA,Female,Outdoor,True,Long Distance
5 km (road),14:29.00,Senbere Teferi,ETH,2021-09-12,5 km Adizero Road to Records,Herzogenaurach,GER,Female,Outdoor,True,Long Distance
5 km (road),14:13.00,Beatrice Chebet,KEN,2023-12-31,Cursa dels Nassos,Barcelona,ESP,Female,Outdoor,True,Long Distance
5 km (road),14:19.00,Ejgayehu Taye,ETH,2021-12-31,Cursa dels Nassos,Barcelona,ESP,Female,Outdoor,True,Long Distance
5 km (road),14:13.00,Agnes Ngetich,KEN,2024-01-14,10K Valencia Ibercaja,Valencia,ESP,Female,Outdoor,True,Long Distance
"10,000 m",29:01.03,Letesenbet Gidey,ETH,2021-06-08,Ethiopian Olympic Trials,Hengelo,NED,Female,Outdoor,True,Long Distance
10 km (road),,,,,,,,Female,Outdoor,True,Long Distance
10 km (road),28:46.00,Agnes Ngetich,KEN,2024-01-14,10K Valencia Ibercaja,Valencia,ESP,Female,Outdoor,True,Long Distance
10 km (road),30:01.00,Agnes Tirop,KEN,2021-09-12,Adizero Road to Records,Herzogenaurach,GER,Female,Outdoor,True,Long Distance
10 km (road),29:26.00,Agnes Ngetich,KEN,2023-11-18,Urban Trail de Lille,Lille,FRA,Female,Outdoor,True,Long Distance
10 km (road),29:24.00[k],Agnes Ngetich,KEN,2023-09-10,Brașov Running Festival,Brașov,ROM,Female,Outdoor,True,Long Distance
10 km (road),29:14.00,Yalemzerf Yehualaw,ETH,2022-02-27,World Athletics Label road race,Castellón de la Plana,ESP,Female,Outdoor,True,Long Distance
One hour (track),"18,930 m",Sifan Hassan,NED,2020-09-04,Diamond League,Brussels,BEL,Female,Outdoor,True,Long Distance
Half marathon,1:02:52,Letesenbet Gidey,ETH,2021-10-24,Valencia Half Marathon,Valencia,ESP,Female,Outdoor,True,Long Distance
Half marathon,1:05:16,Peres Jepchirchir,KEN,2020-10-17,World Half Marathon Championships,Gdynia,POL,Female,Outdoor,True,Long Distance
Marathon[a],2:14:04.00,Brigid Kosgei,KEN,2019-10-13,Chicago Marathon,Chicago,USA,Female,Outdoor,True,Long Distance
Marathon[a],2:11:53.00,Tigst Assefa,ETH,2023-09-24,Berlin Marathon,Berlin,GER,Female,Outdoor,True,Long Distance
Marathon[a],2:17:01.00,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,True,Long Distance
Marathon[a],2:16:16.00,Peres Jepchirchir,KEN,2024-04-21,London Marathon,London,GBR,Female,Outdoor,True,Long Distance
50 km (road),2:59:54.00,Desiree Linden,USA,2021-04-13,Brooks Running 50 km & Marathon,Dorena Lake,USA,Female,Outdoor,True,Long Distance
50 km (road),3:00:30.00,Emane Seifu Hayile,ETH,2023-02-26,Nedbank Runified Breaking Barriers Ultramarathon,Gqeberha,RSA,Female,Outdoor,True,Long Distance
100 km (road),6:33:11.00,Tomoe Abe,JPN,2000-06-25,Lake Saroma Ultramarathon,Yūbetsu,JPN,Female,Outdoor,True,Long Distance
100 m hurdles,12.12,Tobi Amusan,NGR,2022-07-24,World Championships,Eugene,USA,Female,Outdoor,True,Hurdles
400 m hurdles,50.68,Sydney McLaughlin,USA,2022-07-22,World Championships,Eugene,USA,Female,Outdoor,True,Hurdles
