Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
15 km (road),40:27.00,Jacob Kiplimo,UGA,2021-11-21,Lisbon Half Marathon,Lisbon,POR,Male,Outdoor,False,Long Distance
10 miles (road),44:04.00,Benard Kibet,KEN,2022-12-04,Kōsa 10-Miler,Kōsa,JAP,Male,Outdoor,False,Long Distance
"20,000 m (track)",56:20.02,Bashir Abdi,BEL,2020-09-04,Diamond League,Brussels,BEL,Male,Outdoor,False,Long Distance
20 km (road),54:29.00,Jacob Kiplimo,UGA,2021-11-21,Lisbon Half Marathon,Lisbon,POR,Male,Outdoor,False,Long Distance
"25,000 m (track)",1:12:25.40,Moses Mosop,KEN,2011-06-03,Prefontaine Classic,Eugene,USA,Male,Outdoor,False,Long Distance
25 km (road),1:11:08.00,Eliud Kipchoge,KEN,2022-09-25,Berlin Marathon,Berlin,GER,Male,Outdoor,False,Long Distance
"30,000 m (track)",1:26:47.40,Moses Mosop,KEN,2011-06-03,Prefontaine Classic,Eugene,USA,Male,Outdoor,False,Long Distance
30 km (road),1:25:40.00,Eliud Kipchoge,KEN,2022-09-25,Berlin Marathon,Berlin,GER,Male,Outdoor,False,Long Distance
35 km (road),1:40:10.00,Eliud Kipchoge,KEN,2022-09-25,Berlin Marathon,Berlin,GER,Male,Outdoor,False,Long Distance
40 km (road),1:54:23.00,Kelvin Kiptum,KEN,2023-10-08,Chicago Marathon,Chicago,USA,Male,Outdoor,False,Long Distance
"100,000 m (track)",6:05:41.00,Aleksandr Sorokin,LTU,2022-04-23,Centurion Running Track 100 Mile,Bedfordshire,GBR,Male,Outdoor,False,Long Distance
100 miles (track),11:14:56.00,Aleksandr Sorokin,LTU,2021-04-24,Centurion Running Track 100 Mile,Ashford,UK,Male,Outdoor,False,Long Distance
100 miles (road),10:51:39.00,Aleksandr Sorokin,LTU,2022-01-06,Spartanion Race,Tel Aviv,ISR,Male,Outdoor,False,Long Distance
12-hour run (track),"170,309 m",Aleksandr Sorokin,LTU,2021-04-24,Centurion Running Track 100 Mile,Ashford,UK,Male,Outdoor,False,Long Distance
12-hour run (road),"177,410 m",Aleksandr Sorokin,LTU,2022-01-06,Spartanion Race,Tel Aviv,ISR,Male,Outdoor,False,Long Distance
24-hour run (road),"319,614 m",Aleksandr Sorokin,LTU,2022-09-18,IAU 24 Hour European Championships,Verona,ITA,Male,Outdoor,False,Long Distance
2000 m steeplechase,5:10.68,Mahiedine Mekhissi-Benabbad,FRA,2010-06-30,Alma Athlé Tour,Reims,FRA,Male,Outdoor,False,Middle Distance
2500 m steeplechase,7:34.4,George Orton,CAN,1900-07-15,Olympic Games,Paris,FRA,Male,Outdoor,False,Middle Distance
2590 m steeplechase,7:39.6,James Lightbody,USA,1904-08-29,Olympic Games,St. Louis,USA,Male,Outdoor,False,Middle Distance
3460 m steeplechase,10:33.4,Volmari Iso-Hollo,FIN,1932-08-01,Olympic Games,Los Angeles,USA,Male,Outdoor,False,Long Distance
